FoodId,FoodDescription
233,"Biscuit, savoury, from white wheat flour, flaky cracker style"
234,"Biscuit, savoury, from white wheat flour, flavoured (excluding cheese)"
235,"Biscuit, savoury, from white wheat flour, plain snack cracker style"
236,"Biscuit, savoury, from white wheat flour, Salada style"
237,"Biscuit, savoury, from white wheat flour, water cracker style"
238,"Biscuit, savoury, from wholemeal wheat flour & rye flour, crispbread, puffed"
239,"Biscuit, savoury, from wholemeal wheat flour, crispbread"
240,"Biscuit, savoury, rice cake, from brown rice, plain"
241,"Biscuit, savoury, rice cracker, added vegetable powder"
242,"Biscuit, savoury, rice cracker, flavoured (excluding seaweed)"
243,"Biscuit, savoury, rice cracker, plain"
244,"Biscuit, savoury, rice cracker, seaweed flavoured"
245,"Biscuit, savoury, seed based"
246,"Biscuit, sweet, Anzac style, homemade from basic ingredients"
247,"Biscuit, sweet, biscuit base, caramel filling, chocolate-coated, commercial"
248,"Biscuit, sweet, biscuit base, mint filling, chocolate-coated"
249,"Biscuit, sweet, breakfast style, with or without dried fruit"
250,"Biscuit, sweet, chocolate chip or coated"
251,"Biscuit, sweet, cream filled, commercial"
252,"Biscuit, sweet, plain"
253,"Biscuit, sweet, sandwich, cream & jam filling"
254,"Biscuit, sweet, sandwich, cream filling, chocolate-coated, tim tam style"
255,"Biscuit, sweet, shortbread style, commercial"
256,"Biscuit, sweet, wheatmeal"
257,"Blackberry, raw"
258,"Blue grenadier, flesh, baked, no added fat"
259,"Blue grenadier, flesh, raw"
260,"Blue grenadier, flesh, steamed, no added fat"
261,"Blueberry, purchased frozen"
262,"Blueberry, raw"
263,"Bok choy, fried, no added fat"
264,"Bok choy, raw"
265,"Bok choy, steamed"
266,"Braised steak & onions, canned"
267,"Bread roll, from white flour"
268,"Bread roll, from white flour, toasted"
269,"Bread roll, from wholemeal flour"
270,"Bread roll, from wholemeal flour, toasted"
271,"Bread roll, mixed grain"
272,"Bread roll, mixed grain, toasted"
273,"Bread roll, topped with cheese"
274,"Bread roll, topped with cheese & bacon"
276,"Bread, banana"
277,"Bread, damper, from white flour, homemade"
279,"Bread, flat (pita or Lebanese), white, commercial"
280,"Bread, flat (pita or Lebanese), wholemeal, commercial"
281,"Bread, from rye flour, sour dough"
282,"Bread, from rye flour, sour dough, toasted"
283,"Bread, from wheat flour, added dried fruit, toasted"
284,"Bread, from white flour"
285,"Bread, from white flour, added calcium"
286,"Bread, from white flour, added calcium, toasted"
287,"Bread, from white flour, added dried fruit"
288,"Bread, from white flour, added fibre"
289,"Bread, from white flour, added fibre, toasted"
290,"Bread, from white flour, added iron"
291,"Bread, from white flour, added iron, toasted"
292,"Bread, from white flour, added omega-3 polyunsaturates"
293,"Bread, from white flour, added omega-3 polyunsaturates, toasted"
294,"Bread, from white flour, extra grainy & seeds"
295,"Bread, from white flour, extra grainy & seeds, toasted"
296,"Bread, from white flour, Italian-style, commercial"
297,"Bread, from white flour, Italian-style, commercial, toasted"
298,"Bread, from white flour, sour dough, commercial"
299,"Bread, from white flour, sour dough, commercial, toasted"
300,"Bread, from white flour, toasted"
301,"Bread, from white flour, Turkish"
302,"Bread, from white flour, Turkish, toasted"
303,"Bread, from white Jackaroo flour, added fibre and vitamins B1 & folate & Fe"
304,"Bread, from white Jackaroo flour, added fibre and vitamins B1 & folate & Fe, toasted"
305,"Bread, from wholemeal flour"
306,"Bread, from wholemeal flour, extra grainy & seeds"
307,"Bread, from wholemeal flour, extra grainy & seeds, toasted"
308,"Bread, from wholemeal flour, toasted"
309,"Bread, garlic or herb, homemade, cooked"
310,"Bread, garlic, commercial, cooked"
311,"Bread, gluten free"
312,"Bread, gluten free, toasted"
313,"Bread, mixed grain"
314,"Bread, mixed grain, toasted"
315,"Bread, Naan, commercial"
316,"Bread, organic"
317,"Bread, organic, toasted"
318,"Bread, pizza base, commercial"
319,"Bread, tortilla, white, commercial"
320,"Bread, wrap, white, commercial"
321,"Breadcrumbs, white"
323,"Breakfast cereal, beverage, non-chocolate flavours, added vitamins A, B1, B2, B3, B6, B12, C & folate & Ca"
324,"Breakfast cereal, flakes of corn, added vitamins B1, B2, B3, C & folate, Fe & Zn"
325,"Breakfast cereal, flakes of corn, unfortified"
326,"Breakfast cereal, mixed grain (rice & wheat), flakes, added vitamins B1, B2, B3, B6 & folate, Ca, Fe & Zn"
